Account,Campaign,Location Name,Location Type,Is Negative,Notes
Wright's Impact Window and Door,All Campaigns,Miami-Dade County, FL,County,TRUE,Complete county exclusion - high competition, different market dynamics
Wright's Impact Window and Door,All Campaigns,Miami, FL,City,TRUE,Ultra-high competition in luxury downtown market
Wright's Impact Window and Door,All Campaigns,33162, FL,ZIP,TRUE,North Miami/Biscayne Park - mixed residential
Wright's Impact Window and Door,All Campaigns,33165, FL,ZIP,TRUE,Olympia Heights - working class
Wright's Impact Window and Door,All Campaigns,33166, FL,ZIP,TRUE,Flagami/Miami Springs - industrial/commercial
Wright's Impact Window and Door,All Campaigns,33167, FL,ZIP,TRUE,Glenvar Heights - working class
Wright's Impact Window and Door,All Campaigns,33168, FL,ZIP,TRUE,Little Haiti - economic challenges
Wright's Impact Window and Door,All Campaigns,33169, FL,ZIP,TRUE,Miami Gardens/Goulds - working class
Wright's Impact Window and Door,All Campaigns,33170, FL,ZIP,TRUE,Goulds - agricultural/rural transition
Wright's Impact Window and Door,All Campaigns,33172, FL,ZIP,TRUE,Fontainebleau - middle class residential
Wright's Impact Window and Door,All Campaigns,33173, FL,ZIP,TRUE,South Miami - established residential
Wright's Impact Window and Door,All Campaigns,33174, FL,ZIP,TRUE,Sweetwater - working class
Wright's Impact Window and Door,All Campaigns,33175, FL,ZIP,TRUE,Tamiami - working class
Wright's Impact Window and Door,All Campaigns,33176, FL,ZIP,TRUE,South Miami/Pinecrest - luxury residential
Wright's Impact Window and Door,All Campaigns,33177, FL,ZIP,TRUE,South Miami/ Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33178, FL,ZIP,TRUE,Doral - business/industrial park
Wright's Impact Window and Door,All Campaigns,33179, FL,ZIP,TRUE,Miami Gardens - working class
Wright's Impact Window and Door,All Campaigns,33180, FL,ZIP,TRUE,Aventura - luxury high-rise
Wright's Impact Window and Door,All Campaigns,33181, FL,ZIP,TRUE,Miami Shores - established residential
Wright's Impact Window and Door,All Campaigns,33182, FL,ZIP,TRUE,Fontainebleau - middle class
Wright's Impact Window and Door,All Campaigns,33183, FL,ZIP,TRUE,Kendall - middle class residential
Wright's Impact Window and Door,All Campaigns,33184, FL,ZIP,TRUE,Fontainebleau - middle class
Wright's Impact Window and Door,All Campaigns,33185, FL,ZIP,TRUE,The Hammocks - working class
Wright's Impact Window and Door,All Campaigns,33186, FL,ZIP,TRUE,The Crossings - middle class
Wright's Impact Window and Door,All Campaigns,33187, FL,ZIP,TRUE,South Miami - luxury residential
Wright's Impact Window and Door,All Campaigns,33189, FL,ZIP,TRUE,Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33190, FL,ZIP,TRUE,Cutler Bay - working class
Wright's Impact Window and Door,All Campaigns,33193, FL,ZIP,TRUE,Oliva - working class
Wright's Impact Window and Door,All Campaigns,33194, FL,ZIP,TRUE,Doral - business district
Wright's Impact Window and Door,All Campaigns,33196, FL,ZIP,TRUE,Richmond West - working class
